hours_studied,attendance,previous_score,assignment_score,study_mode,passed
7.2,94.8,77.9,51.8,offline,1
1.6,80.2,51.5,58.8,online,0
3.8,66.6,56.2,57.7,online,0
2.7,80.2,54.6,84.9,online,0
5.9,45.0,48.6,65.8,hybrid,0
6.5,62.1,58.7,80.5,hybrid,0
8.2,54.0,35.5,70.9,hybrid,0
6.6,49.9,91.9,54.1,offline,1
1.2,58.0,60.9,91.0,online,0
5.1,92.0,67.4,83.1,offline,1
6.9,45.3,78.8,86.2,online,1
8.0,56.6,82.3,81.8,offline,1
8.6,69.2,82.1,80.1,hybrid,1
6.4,95.4,87.9,76.8,hybrid,1
9.2,68.6,40.3,91.7,offline,1
3.3,58.1,71.4,85.9,hybrid,0
5.0,82.8,45.2,60.2,hybrid,0
1.7,53.0,54.9,49.2,online,0
5.9,67.0,43.4,65.2,hybrid,0
9.5,46.0,87.2,74.5,offline,1
7.8,90.2,92.0,65.1,hybrid,1
7.6,87.4,88.4,69.3,offline,1
4.0,81.0,56.3,49.9,offline,0
9.3,97.0,64.7,94.4,hybrid,1
6.8,52.2,60.0,43.0,offline,0
3.9,69.1,51.9,92.8,offline,0
3.3,49.3,31.3,72.4,offline,0
3.0,48.6,92.2,42.4,online,0
1.2,53.1,38.2,80.2,hybrid,0
9.5,69.6,46.7,62.1,hybrid,0
2.0,88.4,92.7,46.5,online,0
9.4,75.5,89.0,62.5,hybrid,1
8.5,57.9,75.3,58.1,hybrid,1
6.4,51.4,93.9,87.0,offline,1
1.6,79.3,30.8,65.2,offline,0
1.9,95.9,71.3,89.7,hybrid,1
5.7,79.5,70.0,95.2,offline,1
5.2,88.8,68.5,59.3,online,1
8.9,57.9,60.2,76.6,offline,1
4.0,71.2,51.1,69.3,offline,0
8.9,82.2,48.0,40.6,online,0
1.8,83.2,61.8,85.5,hybrid,0
5.0,45.9,49.1,64.3,online,0
3.8,75.8,60.8,71.9,offline,1
4.2,69.0,49.9,53.8,hybrid,0
2.7,51.3,64.8,85.7,online,0
3.5,76.2,79.4,75.8,online,1
8.5,60.7,53.5,58.1,hybrid,0
9.8,74.3,75.3,47.6,offline,1
1.9,45.7,48.5,68.7,offline,0
9.5,70.3,83.4,64.0,online,1
6.2,81.4,39.9,88.7,offline,1
6.0,67.1,68.7,77.1,hybrid,1
4.4,93.2,49.3,75.3,offline,0
6.5,84.2,91.6,52.5,online,1
3.4,49.3,45.6,73.1,online,0
6.3,60.4,45.0,82.4,hybrid,1
8.7,48.8,45.2,55.9,hybrid,0
2.8,51.1,44.6,48.9,offline,0
8.4,48.8,40.8,58.5,hybrid,1
5.0,69.8,49.8,64.2,offline,0
5.5,71.2,35.2,42.4,offline,0
1.2,57.1,73.8,91.6,hybrid,0
9.6,98.0,73.7,56.2,online,1
5.7,68.4,48.1,99.8,offline,0
6.7,71.1,35.9,60.9,offline,0
2.4,66.8,62.2,79.8,offline,0
8.3,74.2,59.6,58.9,offline,1
8.8,88.7,30.1,92.2,offline,1
4.7,54.9,53.5,85.4,hybrid,0
3.4,51.9,48.7,92.9,offline,0
2.1,96.6,69.6,54.4,online,0
4.7,56.9,84.7,46.8,online,0
6.8,53.2,90.6,57.5,hybrid,1
9.8,57.9,65.8,63.0,hybrid,1
5.6,91.6,86.2,56.6,offline,1
3.4,45.1,77.2,90.2,hybrid,1
10.0,71.0,39.7,72.3,offline,1
4.4,94.4,86.5,98.8,online,1
6.1,57.4,80.4,42.6,hybrid,0
4.4,97.4,81.5,79.1,online,1
5.5,47.0,62.6,75.4,online,1
5.7,69.2,77.0,64.6,hybrid,1
9.7,49.0,80.8,55.9,hybrid,1
8.7,90.2,85.9,62.8,offline,1
6.6,92.0,61.7,72.5,hybrid,1
9.3,97.9,78.5,66.0,online,1
7.8,82.3,36.5,50.0,offline,0
8.2,60.5,54.4,48.7,hybrid,1
4.7,81.1,41.7,50.5,hybrid,0
3.2,93.4,39.3,67.7,offline,0
5.1,80.3,88.4,67.9,offline,1
5.0,63.3,68.2,78.3,offline,0
7.2,69.2,49.6,100.0,offline,1
4.2,60.7,75.5,41.3,hybrid,0
4.6,45.4,86.2,86.7,online,1
8.5,92.9,80.4,53.8,offline,1
3.0,55.1,46.3,85.3,hybrid,0
1.9,78.3,32.6,87.3,online,0
6.2,83.8,35.9,57.7,hybrid,0
8.1,91.5,53.8,70.1,offline,1
8.5,58.6,83.6,68.9,offline,1
2.0,96.0,39.1,98.0,hybrid,0
7.5,96.9,92.9,88.3,offline,1
3.4,51.6,54.0,84.9,offline,0
6.3,88.6,91.1,46.5,online,1
9.5,62.4,69.7,78.9,hybrid,1
8.4,93.2,49.6,64.5,online,1
10.0,51.2,45.3,72.3,offline,1
5.1,80.5,78.3,96.8,offline,1
9.0,79.7,84.2,76.9,offline,1
1.3,64.6,58.8,97.0,offline,0
5.9,96.8,53.3,63.9,online,1
9.7,95.3,83.6,45.5,online,1
1.2,86.7,45.8,47.6,hybrid,0
2.8,89.0,66.0,75.2,online,1
9.1,45.2,85.8,48.7,online,1
5.9,87.3,37.1,92.0,online,1
3.1,62.2,41.3,43.1,hybrid,0
4.8,51.0,34.1,66.9,offline,0
5.5,95.1,32.8,87.0,hybrid,1
5.7,69.3,92.7,43.6,offline,1
2.0,82.8,58.8,94.0,offline,0
6.5,48.5,47.9,78.0,hybrid,0
6.4,60.6,62.9,65.8,hybrid,0
2.0,79.7,87.1,73.1,online,0
4.7,88.9,55.9,83.8,offline,1
4.8,80.3,54.3,49.2,offline,1
1.8,50.1,78.0,88.7,hybrid,1
1.5,95.7,66.5,80.2,offline,0
7.8,91.0,76.9,98.1,hybrid,1
3.8,50.5,63.0,49.3,offline,0
8.6,64.5,79.6,74.4,offline,1
8.6,96.7,83.2,76.8,hybrid,1
6.9,81.8,31.9,56.4,offline,0
9.3,63.6,41.8,48.6,hybrid,0
6.7,46.6,78.5,52.9,offline,1
5.1,53.3,50.3,59.5,hybrid,0
2.4,85.0,33.2,44.9,offline,0
7.0,70.7,58.7,56.4,hybrid,1
3.5,81.0,61.6,80.0,online,1
3.0,97.2,33.6,52.3,online,0
3.6,51.4,62.3,65.8,online,0
4.4,82.3,62.5,90.0,offline,1
1.4,46.0,89.9,91.7,hybrid,1
4.9,66.4,71.6,57.4,offline,1
8.2,77.8,84.1,95.2,online,1
4.9,50.6,58.3,64.0,online,0
4.1,62.7,40.9,70.6,online,0
5.8,55.3,80.5,61.1,hybrid,1
2.3,55.5,69.2,85.6,hybrid,0
1.7,95.4,70.8,67.8,hybrid,1
9.3,74.9,71.3,77.5,hybrid,1
3.8,68.3,60.5,77.9,offline,0
1.7,69.5,32.4,62.1,offline,0
