marketing_spend_k,employees,product_age_months,monthly_active_users,industry,funding_million,monthly_revenue
108.84,109,18,219224,fintech,8.97,211923
40.19,80,61,227616,fintech,14.8,516263
190.25,25,1,107537,healthtech,6.22,205647
141.17,148,18,52434,ecommerce,12.48,253538
206.59,80,75,79869,edtech,8.39,313713
118.55,9,1,40576,healthtech,4.5,61896
35.42,173,37,109555,ecommerce,7.38,230723
173.52,65,4,31488,healthtech,7.4,217309
93.63,126,73,114512,healthtech,9.42,310807
121.63,180,16,98032,fintech,10.99,353662
147.51,40,41,121059,ecommerce,5.36,208298
17.96,95,54,166988,healthtech,0.73,214169
23.82,52,81,48237,saas,8.98,327515
45.95,85,41,216946,healthtech,4.07,252040
135.93,93,19,3581,ecommerce,7.77,132507
96.39,127,53,89411,ecommerce,1.54,230518
51.16,146,79,180988,fintech,12.69,450933
179.57,32,54,120915,saas,1.75,203243
90.31,179,47,36641,edtech,13.35,312059
151.42,90,23,186294,healthtech,0.43,215258
214.92,39,30,80790,ecommerce,3.15,124309
245.37,111,15,20577,saas,11.62,237968
31.42,171,66,155697,saas,7.04,331834
227.59,14,9,79274,saas,11.32,225959
55.32,54,24,175993,healthtech,0.44,79667
40.66,74,75,91383,healthtech,2.41,149472
64.25,148,9,26179,fintech,11.45,263149
134.57,52,37,45229,fintech,0.06,136239
230.52,124,47,183211,fintech,2.78,191600
170.01,30,24,219022,healthtech,14.72,269118
104.86,83,16,122333,saas,7.8,261077
126.47,95,37,146248,saas,1.23,173945
116.95,82,57,59411,fintech,6.11,252353
246.32,112,25,224798,saas,13.42,397560
95.02,6,63,176385,saas,5.95,156330
133.05,176,11,31452,ecommerce,5.92,162011
186.65,46,9,95544,ecommerce,5.08,41508
150.77,106,16,61245,edtech,10.88,211617
147.57,72,83,247460,edtech,5.34,389806
168.34,106,63,134264,healthtech,2.21,224234
124.89,62,81,247245,ecommerce,0.45,282401
185.76,20,64,177961,saas,14.58,294999
42.42,162,80,25453,saas,9.92,365000
132.39,129,60,53135,healthtech,9.93,249955
89.19,141,70,4832,saas,14.86,334863
220.63,33,50,118195,healthtech,12.79,270915
48.33,171,39,232118,ecommerce,7.37,344593
37.95,102,63,200480,saas,8.53,283842
137.15,123,61,147591,ecommerce,7.6,305752
100.89,129,76,99237,fintech,10.15,354980
20.05,154,6,33806,healthtech,5.23,148657
186.8,9,81,89658,edtech,1.46,150940
91.06,172,32,65110,ecommerce,9.72,309717
150.17,179,9,227987,healthtech,1.72,292171
14.16,171,55,149110,fintech,13.52,451882
70.32,123,76,6029,healthtech,5.67,192262
203.04,28,27,88271,edtech,7.54,216847
192.4,89,22,161373,healthtech,5.45,186333
212.6,22,69,56319,healthtech,3.98,209030
77.84,149,52,211121,ecommerce,9.37,420602
146.66,154,44,71860,saas,8.5,267978
135.11,112,27,91246,saas,9.77,240689
111.06,141,41,52648,edtech,6.03,298610
158.12,119,71,47543,saas,9.42,266186
127.3,172,60,70437,fintech,12.13,357386
213.93,114,73,190677,saas,7.83,333043
41.87,178,39,221481,edtech,6.15,338912
215.75,19,82,53561,edtech,4.0,180883
173.28,63,52,62716,saas,2.25,213820
11.79,82,60,127440,fintech,14.87,277540
54.49,72,18,7839,healthtech,11.85,249485
73.05,143,23,169097,saas,14.46,348073
215.6,24,41,157905,healthtech,13.01,289500
225.64,107,47,176274,saas,5.95,340178
62.83,149,65,244763,saas,7.83,309740
208.1,137,33,130341,saas,3.57,309022
85.68,152,50,211446,ecommerce,14.03,449782
58.41,30,23,56327,healthtech,6.59,161498
125.14,98,15,83165,fintech,6.36,286523
172.27,74,19,95357,edtech,10.74,230421
241.87,158,5,220787,saas,10.36,327136
198.26,64,33,145094,edtech,4.64,247240
204.0,34,69,227466,ecommerce,12.86,340544
100.18,103,33,79076,saas,14.04,302262
215.56,44,57,165705,healthtech,13.19,284284
192.85,107,5,72037,saas,12.35,302041
106.18,88,55,230037,saas,12.37,356050
176.13,132,9,92437,edtech,9.03,257394
116.05,10,7,168332,ecommerce,9.45,142630
198.8,37,1,105231,ecommerce,9.42,181346
43.67,135,84,200258,ecommerce,12.7,420846
173.01,84,58,125600,ecommerce,3.91,203291
200.88,53,11,108857,healthtech,2.73,76652
219.72,149,29,5635,saas,13.85,246979
227.18,121,26,68824,ecommerce,0.75,114294
156.41,156,34,39325,saas,14.37,342091
8.46,137,56,202931,edtech,12.41,415123
126.07,60,27,50150,healthtech,4.32,136990
214.8,156,28,216229,healthtech,10.9,352902
51.39,49,53,207939,ecommerce,0.43,250838
115.49,66,48,153004,edtech,1.29,190976
119.88,85,51,180254,ecommerce,10.7,295962
67.78,27,72,15601,saas,4.99,120690
62.54,93,78,246437,fintech,10.64,410861
128.61,100,39,103667,healthtech,1.98,195069
223.6,13,75,47221,healthtech,2.55,132310
119.68,25,41,186389,fintech,6.49,269614
68.8,83,6,33720,edtech,13.08,244641
231.93,75,34,160876,healthtech,7.75,197509
111.76,45,41,193365,edtech,11.46,339362
166.07,115,7,49724,ecommerce,0.82,202942
49.87,123,34,43074,edtech,6.55,306698
14.99,94,72,127392,edtech,7.39,274857
212.23,40,16,91846,saas,3.06,140039
188.73,72,73,233742,fintech,3.19,404939
249.51,4,68,201224,fintech,2.71,291287
127.04,27,43,7005,healthtech,10.22,177367
171.76,103,48,154953,saas,12.55,351781
208.52,171,62,119227,healthtech,8.91,347890
6.42,14,84,163349,edtech,4.87,235537
239.56,148,17,55608,saas,12.02,206349
74.32,17,10,143633,fintech,5.72,178702
241.44,105,12,5577,ecommerce,2.44,142783
195.98,75,83,197478,ecommerce,1.81,226509
202.56,82,78,34616,healthtech,9.98,275667
208.85,134,26,128551,edtech,13.28,247363
108.65,111,48,161121,ecommerce,6.51,286618
109.37,13,66,89786,edtech,10.15,194758
233.01,137,81,169866,fintech,1.26,259771
119.71,23,62,78946,ecommerce,14.76,267432
65.92,112,38,149238,saas,8.26,257158
229.74,134,14,134064,edtech,6.2,160607
204.14,93,33,153703,saas,11.53,326090
8.99,172,60,47268,ecommerce,12.64,366839
177.57,83,76,190017,edtech,11.36,357970
115.24,70,44,240877,ecommerce,3.17,373282
68.53,175,14,113917,fintech,0.27,284812
101.76,6,22,172114,edtech,6.9,141039
187.34,127,39,162335,fintech,5.41,335367
170.08,179,51,211131,healthtech,1.31,319212
204.91,51,4,55048,edtech,9.73,191965
164.19,114,81,225169,fintech,2.86,328872
121.13,8,15,43743,ecommerce,11.08,220858
114.09,127,61,5345,edtech,8.78,256021
209.29,16,43,2264,saas,9.46,245695
179.71,109,64,193420,fintech,8.94,327924
124.44,127,66,155137,fintech,14.03,388759
226.74,127,30,187446,saas,7.92,274101
20.56,168,54,233282,edtech,1.75,315248
157.56,168,45,117725,edtech,0.31,213566
89.24,62,65,57793,fintech,13.64,344146
88.09,157,60,34582,healthtech,10.84,262040
235.59,170,47,208859,edtech,12.0,403592
211.91,162,27,74244,saas,10.01,308518
153.41,28,54,247416,edtech,4.55,279736
56.31,15,3,94253,healthtech,5.36,186286
224.14,11,9,88735,edtech,1.71,169849
60.54,146,29,127697,healthtech,14.9,355882
193.67,145,35,235164,ecommerce,12.8,299649
219.06,157,14,185379,saas,13.9,313414
211.19,31,14,205105,fintech,9.14,294338
215.3,29,72,11202,fintech,1.58,114747
228.19,43,38,185840,edtech,11.43,215312
127.11,28,20,169831,healthtech,5.02,256838
112.58,109,1,64508,edtech,5.12,225098
128.73,24,35,97831,edtech,5.41,157423
189.61,110,30,36374,edtech,6.2,166092
105.28,120,67,208501,healthtech,14.16,328000
180.82,135,9,22424,healthtech,4.72,198296
245.58,45,56,16313,edtech,11.39,186548
226.12,17,81,187205,fintech,14.59,328042
