size_sqft,bedrooms,bathrooms,house_age,area_type,condition,garage,distance_to_center_km,price
483,2,1,19,urban,excellent,0,12.3,278479
1726,4,3,59,rural,poor,1,3.3,349270
1541,4,1,69,suburban,average,0,31.4,227094
1474,4,1,15,rural,average,1,27.1,253682
587,2,4,12,rural,average,1,13.9,244309
1728,3,2,80,rural,poor,0,9.2,243833
663,6,2,14,urban,excellent,1,1.0,416111
1580,5,1,50,urban,poor,0,20.5,300963
1084,3,1,31,urban,excellent,0,24.2,284916
1836,6,1,7,suburban,average,0,4.8,468501
3090,3,4,24,urban,excellent,1,25.5,767787
1476,1,4,56,rural,good,1,7.0,349280
3449,4,3,76,rural,average,0,18.8,576205
2290,3,3,69,suburban,excellent,0,27.3,415362
526,5,3,79,urban,good,0,23.2,227948
2657,4,2,67,rural,excellent,0,21.6,476103
902,1,1,5,urban,average,0,7.5,293161
2438,2,1,4,rural,excellent,1,18.6,494420
1950,2,1,1,urban,excellent,0,16.6,464719
3067,1,3,71,rural,excellent,1,27.9,546100
2616,1,1,38,urban,average,0,4.0,491124
1396,5,4,24,urban,average,0,19.8,378456
3065,5,3,58,rural,excellent,0,6.3,625286
1188,5,4,64,suburban,average,1,32.7,317559
1779,3,4,55,rural,good,0,19.9,356034
1326,4,3,46,suburban,excellent,1,0.5,463792
516,5,2,38,urban,good,0,7.9,297889
1739,1,3,70,rural,average,0,1.8,294246
1953,5,2,29,suburban,good,0,20.2,462633
2780,2,1,41,suburban,average,1,29.0,427262
840,5,3,4,rural,excellent,0,27.4,299071
1819,3,4,53,urban,average,0,22.4,395530
2597,1,3,69,rural,average,1,17.8,397107
1354,2,1,50,suburban,poor,0,15.4,214035
1826,1,4,73,rural,poor,1,9.6,285387
2082,5,4,16,urban,excellent,0,17.3,592920
2973,6,2,31,urban,good,1,11.7,668135
2809,1,1,52,suburban,good,1,7.1,481733
1698,2,3,78,suburban,average,1,2.0,379853
1406,2,3,19,rural,poor,0,26.0,244590
1054,3,1,43,rural,poor,1,16.0,212021
543,3,2,68,urban,average,1,19.4,120808
3297,6,1,48,rural,poor,1,6.4,519995
1613,2,3,6,suburban,poor,0,13.9,342410
3153,3,1,2,suburban,excellent,0,34.3,648473
2532,6,1,40,suburban,poor,0,7.4,517009
3368,1,1,31,rural,good,1,17.4,546017
3499,2,1,44,rural,good,1,22.1,568293
2503,3,1,80,suburban,excellent,0,33.1,484097
1597,2,2,43,suburban,average,0,25.7,243397
3012,6,2,53,urban,average,1,34.0,565254
2929,3,4,69,urban,average,0,20.5,540887
1015,3,2,55,urban,average,1,2.8,286788
2633,6,1,23,suburban,average,0,26.9,520792
2134,3,4,35,urban,average,0,5.0,494251
557,5,3,77,rural,average,0,8.5,188152
2402,2,4,47,urban,excellent,1,16.8,575550
1120,2,2,4,suburban,poor,1,33.3,230749
1280,2,1,22,suburban,excellent,1,30.4,347941
1460,4,4,5,rural,excellent,1,14.1,500664
2646,5,1,66,urban,excellent,1,29.0,531817
623,2,4,5,rural,excellent,0,7.0,267603
1621,4,2,54,suburban,poor,0,16.5,319247
3096,4,1,64,urban,average,0,14.1,543369
2308,5,2,58,urban,good,1,24.4,508087
3364,2,1,11,urban,excellent,1,3.4,713397
2545,5,2,48,rural,excellent,0,27.0,464089
1822,5,2,20,urban,average,0,15.0,436064
2277,3,2,15,urban,average,0,22.0,509983
1486,1,4,63,suburban,poor,1,8.7,270024
2129,4,1,76,rural,poor,0,30.9,244203
1589,5,2,6,urban,average,0,23.0,462433
3182,5,3,42,urban,poor,0,14.9,625951
1180,2,3,78,rural,average,1,26.4,179188
1675,3,3,48,urban,excellent,0,10.6,468974
1001,1,3,42,rural,excellent,0,24.5,233326
3438,6,1,61,rural,good,1,21.5,598773
1746,3,3,16,rural,excellent,1,17.5,464833
3352,3,2,0,urban,poor,1,22.1,659798
933,6,2,78,suburban,excellent,0,12.0,285605
496,6,2,36,suburban,poor,1,10.9,210272
2702,3,1,14,rural,good,1,14.2,462888
1169,2,3,43,rural,excellent,1,28.0,263274
3094,2,4,19,rural,excellent,1,16.5,671067
679,5,3,72,rural,good,0,7.7,186083
3257,3,3,8,urban,good,0,12.2,680277
1129,5,4,23,rural,poor,1,24.8,313925
1738,6,1,34,suburban,poor,1,30.8,301682
1689,2,3,22,urban,good,0,27.3,436209
829,4,1,61,rural,average,0,12.2,114905
1721,3,2,12,rural,average,0,25.5,329668
2331,4,1,0,suburban,poor,0,12.0,465943
3149,6,3,2,rural,good,0,11.6,681725
1238,3,3,68,suburban,excellent,0,9.9,354927
3001,5,1,26,rural,good,1,9.9,606497
3335,3,2,21,urban,good,1,19.1,679383
3216,1,1,49,urban,poor,1,14.0,514420
3336,5,4,78,suburban,good,1,28.7,622760
2635,1,4,72,urban,poor,1,3.9,455662
1721,6,4,60,urban,average,0,30.2,372065
2055,2,3,41,suburban,excellent,0,2.8,461748
912,3,4,59,urban,good,1,21.4,323054
3375,1,3,71,rural,poor,1,18.9,489287
2091,5,4,30,rural,average,0,34.1,397940
3292,5,4,55,rural,good,0,6.5,678307
3192,1,4,14,rural,excellent,1,19.7,649595
2112,1,1,76,suburban,good,1,22.8,319042
701,1,2,17,rural,poor,0,23.3,90139
2971,5,4,25,urban,good,1,20.2,699338
3233,3,4,44,urban,poor,1,29.7,589124
2698,1,1,71,suburban,poor,1,30.4,332832
1413,4,4,80,suburban,excellent,1,13.7,369258
2395,2,2,71,suburban,good,1,5.8,452268
3194,2,2,1,urban,poor,0,25.4,536737
1006,1,2,53,suburban,excellent,0,16.2,261005
2187,5,4,49,suburban,average,0,15.2,512640
3443,2,3,52,rural,good,0,34.2,544705
2777,4,3,14,rural,excellent,0,5.4,626960
1594,4,1,66,rural,poor,0,16.8,157755
3487,6,1,69,rural,good,0,31.7,559972
2309,5,4,73,rural,good,1,12.7,497651
1656,3,2,4,rural,good,1,2.6,416819
661,6,3,79,urban,good,1,3.3,334348
2520,1,3,32,urban,good,1,30.1,512860
1165,5,2,57,suburban,average,1,27.5,266858
1417,4,2,67,urban,good,0,33.9,268005
2481,4,4,30,rural,excellent,0,7.8,563017
3457,3,1,33,urban,poor,0,16.5,553297
2631,2,4,49,suburban,good,0,18.8,523925
2230,1,3,57,suburban,good,0,3.9,426286
2218,5,3,42,suburban,good,0,9.3,519395
2842,4,4,30,rural,average,1,23.9,567994
493,6,1,8,urban,excellent,0,18.6,329461
3257,4,3,28,rural,good,1,7.2,674523
2883,6,2,76,rural,poor,0,3.5,496714
2926,2,4,72,urban,poor,0,9.2,466481
3066,4,3,54,rural,good,1,6.1,619609
753,3,1,48,suburban,good,0,9.4,230101
734,4,2,78,suburban,average,1,4.2,203882
2664,4,2,78,rural,poor,1,25.2,393430
2790,6,3,57,urban,excellent,0,23.0,643529
453,1,4,34,urban,good,1,20.3,186125
2459,4,4,51,rural,poor,0,0.6,473133
3273,4,1,72,rural,good,1,24.0,498495
3100,1,3,68,suburban,poor,1,26.7,475824
1637,6,2,22,rural,poor,1,23.3,337200
887,6,3,62,urban,excellent,0,5.3,423663
1240,1,2,62,suburban,poor,1,17.7,237737
517,1,3,7,suburban,poor,1,4.6,199084
3128,6,4,68,urban,average,0,1.8,701390
2380,5,1,31,rural,average,0,6.4,487188
654,3,1,58,rural,average,0,28.7,107491
2971,2,1,25,suburban,good,1,11.7,582704
3252,5,2,41,urban,poor,0,12.1,621102
2150,2,3,70,urban,excellent,0,32.4,443240
